category,group,doc_type_code,doc_type_description
Land Records,REAL PROPERTY,MEMO/OGL,MEMO/OGL
Land Records,REAL PROPERTY,MEMO/OGL&FS,MEMO/OGL&FS
Land Records,REAL PROPERTY,MEMO/OG&LHL,MEMO/OG&LHL
Land Records,REAL PROPERTY,MEMO/OGL/SECAGR,MEMO/OGL/SECAGR
Land Records,REAL PROPERTY,MEMO/OGML,MEMO/OGML
Land Records,REAL PROPERTY,MEMO/PUOGL,MEMO/PUOGL
Land Records,REAL PROPERTY,MGNOGL,MEMORANDUM GIVING NOTICE OF OIL & GAS LEASE
Land Records,REAL PROPERTY,MNEOGL,MEMORANDUM NOTICE OF EXISTENCE OF OIL & GAS LEASE
Land Records,REAL PROPERTY,MOOGL,MEMORANDUM OF AN OIL AND GAS LEASE
Land Records,REAL PROPERTY,MEL,MEMORANDUM OF LEASE
Land Records,REAL PROPERTY,MOGL,MEMORANDUM OF OIL AND GAS LEASE
Land Records,REAL PROPERTY,MOGML,MEMORANDUM OF OIL GAS AND MINERAL LEASE
Land Records,REAL PROPERTY,MOPUOGL,MEMORANDUM OF PAID UP OIL AND GAS LEASE
Land Records,REAL PROPERTY,MOSL,MEMORANDUM OF SURFACE LEASE
Land Records,REAL PROPERTY,M/I DEED,M/I DEED
Land Records,REAL PROPERTY,MID1,MINERAL DEED1
Land Records,REAL PROPERTY,MIN DEED,MIN DEED
Land Records,REAL PROPERTY,MARC,MINERAL AND ROYALTY CONVEYANCE
Land Records,REAL PROPERTY,MARD,MINERAL AND ROYALTY DEED
Land Records,REAL PROPERTY,MRSWD,MINERAL AND ROYALTY SPECIAL WARRANTY DEED
Land Records,REAL PROPERTY,MC,MINERAL CONVEYANCE
Land Records,REAL PROPERTY,MD,MINERAL DEED
Land Records,REAL PROPERTY,MDBOS,MINERAL DEED AND BILL OF SALE
Land Records,REAL PROPERTY,MDAC,MINERAL DEED AND CONVEYANCE
Land Records,REAL PROPERTY,MDA,MINERAL DEED & ASSIGNMENT
Land Records,REAL PROPERTY,MINERAL DR,MINERAL DR
Land Records,REAL PROPERTY,MINERAL INT,MINERAL INT
Land Records,REAL PROPERTY,MINL,MINERAL LEASE
Land Records,REAL PROPERTY,MLA,MINERAL LIEN AFFIDAVIT
Land Records,REAL PROPERTY,MR RT,MINERAL RIGHT AND ROYALTY TRANSFER
Land Records,REAL PROPERTY,MRORC,MINERAL ROYALTY AND OVERRIDING ROYALTY CONVEYANCE
Land Records,REAL PROPERTY,MRC,MINERAL ROYALTY CONVEYANCE
Land Records,REAL PROPERTY,MRD,MINERAL & ROYALTY DEED
Land Records,REAL PROPERTY,MODT,MODIFICATION OF DEED OF TRUST
Land Records,REAL PROPERTY,MTG DEED,MTG DEED
Land Records,REAL PROPERTY,NONMLEA,NON MINERAL LESSEE EASEMENT
Land Records,REAL PROPERTY,NOT/EO/EPT/OGL,NOT/EO/EPT/OGL
Land Records,REAL PROPERTY,NLEX,NOTICE OF LEASE EXTENSION
Land Records,REAL PROPERTY,NOL,NOTICE OF LEASE EXTENSION EXERCISE
Land Records,REAL PROPERTY,NOT/OGML,NOT/OGML
Land Records,REAL PROPERTY,NOT/OGOI,NOT/OGOI
Land Records,REAL PROPERTY,NOT/TM/TA/OGL,NOT/TM/TA/OGL
Land Records,REAL PROPERTY,OET/OGL,OET/OGL
Land Records,REAL PROPERTY,OGA/C/D,OGA/C/D
Land Records,REAL PROPERTY,OG/AFFT,OG/AFFT
Land Records,REAL PROPERTY,OGD,OGD
Land Records,REAL PROPERTY,OGDO,OGDO
Land Records,REAL PROPERTY,OG&HC LSE,OG&HC LSE
Land Records,REAL PROPERTY,OG&HL,OG&HL
Land Records,REAL PROPERTY,O&G LEASE,O&G LEASE
Land Records,REAL PROPERTY,OGL/I,OGL/I
Land Records,REAL PROPERTY,OG/LN.AFF,OG/LN.AFF
Land Records,REAL PROPERTY,OGL/PU,OGL/PU
Land Records,REAL PROPERTY,OGL/SA,OGL/SA
Land Records,REAL PROPERTY,OGL/WSA,OGL/WSA
Land Records,REAL PROPERTY,OGMA,OGMA
Land Records,REAL PROPERTY,OG&M AGMT,OG&M AGMT
Land Records,REAL PROPERTY,OGMD,OGMD
Land Records,REAL PROPERTY,OG&M DEED,OG&M DEED
Land Records,REAL PROPERTY,OG&ML,OG&ML
Land Records,REAL PROPERTY,OG&ML DR,OG&ML DR
Land Records,REAL PROPERTY,OG&ML EXTEN,OG&ML EXTEN
Land Records,REAL PROPERTY,OGM&RC,OGM&RC
Land Records,REAL PROPERTY,OG&OHC LSE,OG&OHC LSE
Land Records,REAL PROPERTY,OG&OH LSE,OG&OH LSE
Land Records,REAL PROPERTY,OG/OMC,OG/OMC
Land Records,REAL PROPERTY,OG&OMD/AR,OG&OMD/AR
Land Records,REAL PROPERTY,OGP/DT,OGP/DT
Land Records,REAL PROPERTY,OGPPA,OGPPA
Land Records,REAL PROPERTY,OGRC,OGRC
Land Records,REAL PROPERTY,OG/TL,OG/TL
Land Records,REAL PROPERTY,OGL1,OIL AND GAS LEASE
Land Records,REAL PROPERTY,OGLEA,OIL AND GAS LEASE EXTENSION AND AMENDMENT
Land Records,REAL PROPERTY,OGAML,OIL GAS AND MINERAL LEASE
Land Records,REAL PROPERTY,OGML,"OIL, GAS & MINERAL LEASE"
Land Records,REAL PROPERTY,OGMRC,"OIL, GAS, MINERAL & ROYALTY CONVEYANCE"
Land Records,REAL PROPERTY,OGATLPFMEDPS,ORDER GRANTING APPLICATION TO LEASE PROPERTY FOR M
Land Records,REAL PROPERTY,PA&A/OGL,PA&A/OGL
Land Records,REAL PROPERTY,PUGL,PAID-UP AND GAS LEASE
Land Records,REAL PROPERTY,POG,PAID UP OIL AND GAS LEASE
Land Records,REAL PROPERTY,PUOGHL,"PAID-UP OIL,GAS AND HYDROCARBON LEASE"
Land Records,REAL PROPERTY,PUOGL,PAID-UP OIL & GAS LEASE
Land Records,REAL PROPERTY,PU/OGML,"PAID-UP OIL, GAS & MINERAL LEASE"
Land Records,REAL PROPERTY,POGM,"PAID-UP PIL,GAS AND MINERAL LEASE"
Land Records,REAL PROPERTY,PA/OGL,PA/OGL
Land Records,REAL PROPERTY,PA/OGL&CR,PA/OGL&CR
Land Records,REAL PROPERTY,PA/OGL.INT,PA/OGL.INT
Land Records,REAL PROPERTY,PA/OGLW,PA/OGLW
Land Records,REAL PROPERTY,PA/OGL/WOW,PA/OGL/WOW
Land Records,REAL PROPERTY,P/A/OG&ML,P/A/OG&ML
Land Records,REAL PROPERTY,PA/OGML/R.ORRI,PA/OGML/R.ORRI
Land Records,REAL PROPERTY,PA/OGP,PA/OGP
Land Records,REAL PROPERTY,PAR A/OG&ML,PAR A/OG&ML
Land Records,REAL PROPERTY,PAR R/OG&ML,PAR R/OG&ML
Land Records,REAL PROPERTY,PART AOG&ML,PART AOG&ML
Land Records,REAL PROPERTY,PAOOB,PART/ASS/OG/OML/BS
Land Records,REAL PROPERTY,PART DEED,PART DEED
Land Records,REAL PROPERTY,PAS,PARTIAL ASSIGNMENT
Land Records,REAL PROPERTY,PLS,PARTIAL ASSIGNMENT OF LEASE
Land Records,REAL PROPERTY,PAOOGL,PARTIAL ASSIGNMENT OF OIL AND GAS LEASES
Land Records,REAL PROPERTY,PAOGML,PARTIAL ASSIGNMENT OF OIL GAS AND MINERAL LEASE
Land Records,REAL PROPERTY,ASSI,PARTIAL ASSIGNMENT OF OIL & GAS LEASES
Land Records,REAL PROPERTY,PAOGL,PARTIAL ASSIGNMENT OIL & GAS LEASE
Land Records,REAL PROPERTY,PAR,PARTIAL RELEASE
Land Records,REAL PROPERTY,PEW,PARTIAL RELEASE OF EASEMENT/RIGHT OF WAY
Land Records,REAL PROPERTY,PRJ,PARTIAL RELEASE OF JUDGMENT
Land Records,REAL PROPERTY,PRL,PARTIAL RELEASE OF LEASE
Land Records,REAL PROPERTY,PR,PARTIAL RELEASE OF LIEN
Land Records,REAL PROPERTY,PLC1,PARTIAL RELEASE OF LIEN CLAIMED
Land Records,REAL PROPERTY,PLP,PARTIAL RELEASE OF LIS PENDENS
Land Records,REAL PROPERTY,PROM,PARTIAL RELEASE OF MORTGAGE
Land Records,REAL PROPERTY,PROGL,PARTIAL RELEASE OF OIL AND GAS LEASE
Land Records,REAL PROPERTY,PROOGL,PARTIAL RELEASE OF OIL & GAS LEASES
Land Records,REAL PROPERTY,PROGML,"PARTIAL RELEASE OIL, GAS & MINERAL LEASE"
Land Records,REAL PROPERTY,PD,PARTITION DEED
Land Records,REAL PROPERTY,PARTN DEED,PARTN DEED
Land Records,REAL PROPERTY,P/ASN/OG&ML,P/ASN/OG&ML
Land Records,REAL PROPERTY,PA/TRI/OGL,PA/TRI/OGL
Land Records,REAL PROPERTY,PCBS/OGI,PCBS/OGI
Land Records,REAL PROPERTY,POOL AGMT,POOL AGMT
Land Records,REAL PROPERTY,POOL AGRMT,POOL AGRMT
Land Records,REAL PROPERTY,POOL/DESIG,POOL/DESIG
Land Records,REAL PROPERTY,POOL,POOLING AGREEMENT
Land Records,REAL PROPERTY,POO,POOLING AGREEMENT/DECLARATION/DESIGNATION
Land Records,REAL PROPERTY,POD,POOLING DESIGNATION
Land Records,REAL PROPERTY,PRA/OGL,PRA/OGL
Land Records,REAL PROPERTY,PR/DEED,PR/DEED
Land Records,REAL PROPERTY,PRDT/SA/FSOGMP,PRDT/SA/FSOGMP
Land Records,REAL PROPERTY,PR/OGL,PR/OGL
Land Records,REAL PROPERTY,PR/PA/TRIOGL,PR/PA/TRIOGL
Land Records,REAL PROPERTY,PT/AGR/DEED,PT/AGR/DEED
Land Records,REAL PROPERTY,PT/A/OGI,PT/A/OGI
Land Records,REAL PROPERTY,PT A/OG INT,PT A/OG INT
Land Records,REAL PROPERTY,PT/A/OGL,PT/A/OGL
Land Records,REAL PROPERTY,PT/A/OGMI,PT/A/OGMI
Land Records,REAL PROPERTY,PT/A/OGML,PT/A/OGML
Land Records,REAL PROPERTY,PT ASSN/OGL,PT ASSN/OGL
Land Records,REAL PROPERTY,PT RELEASE,PT RELEASE
Land Records,REAL PROPERTY,PT/R/OGL,PT/R/OGL
Land Records,REAL PROPERTY,PT/R/OGML,PT/R/OGML
Land Records,REAL PROPERTY,PU/OGL,PU/OGL
Land Records,REAL PROPERTY,PU/OGLA,PU/OGLA
Land Records,REAL PROPERTY,QC.A/OGL,QC.A/OGL
Land Records,REAL PROPERTY,QC/CONV/OGL,QC/CONV/OGL
Land Records,REAL PROPERTY,QC DEED,QC DEED
Land Records,REAL PROPERTY,QC MIN DEED,QC MIN DEED
Land Records,REAL PROPERTY,QC/OGI,QC/OGI
Land Records,REAL PROPERTY,QC.R/OGML,QC.R/OGML
Land Records,REAL PROPERTY,QC TR DEED,QC TR DEED
Land Records,REAL PROPERTY,QCD,QUIT CLAIM DEED
Land Records,REAL PROPERTY,QCMD,QUIT CLAIM MINERAL DEED
Land Records,REAL PROPERTY,R&AMD/OGL,R&AMD/OGL
Land Records,REAL PROPERTY,RA/OGL,RA/OGL
Land Records,REAL PROPERTY,R&A/OGML,R&A/OGML
Land Records,REAL PROPERTY,RA/TA/OGL,RA/TA/OGL
Land Records,REAL PROPERTY,RAEOGL,"RATIFICATION,AMENDMENT AND EXTENSION OF OIL & GAS"
Land Records,REAL PROPERTY,RATOGNML,"RATIFICATION & AMENDMENT TO OIL, GAS & MINERAL LEA"
Land Records,REAL PROPERTY,RODOPU,RATIFICATION OF DESIGNATION OF POOLED UNIT
Land Records,REAL PROPERTY,RATOGML,"RATIFICATION OF OIL, GAS AND MINERAL LEASE"
Land Records,REAL PROPERTY,ROO&GL,RATIFICATION OF OIL & GAS LEASE
Land Records,REAL PROPERTY,ROPU,RATIFICATION OF POOLED UNIT
Land Records,REAL PROPERTY,RATIF/LEASE,RATIF/LEASE
Land Records,REAL PROPERTY,RATIF/OG&ML,RATIF/OG&ML
Land Records,REAL PROPERTY,RATI/OG&ML,RATI/OG&ML
Land Records,REAL PROPERTY,RAT/OGL,RAT/OGL
Land Records,REAL PROPERTY,RAT/OGML,RAT/OGML
Land Records,REAL PROPERTY,R&C/DOGL,R&C/DOGL
Land Records,REAL PROPERTY,R&C/PUOGML,R&C/PUOGML
Land Records,REAL PROPERTY,REDOT,REAL ESTATE DEED OF TRUST
Land Records,REAL PROPERTY,R/EA/OGML,R/EA/OGML
Land Records,REAL PROPERTY,REA1,REASSIGNMENT
Land Records,REAL PROPERTY,REL DEED,REL DEED
Land Records,REAL PROPERTY,REL,RELEASE
Land Records,REAL PROPERTY,RELEASE DT,RELEASE DT
Land Records,REAL PROPERTY,RELEASE ETC,RELEASE ETC
Land Records,REAL PROPERTY,RL1,RELEASE LIEN
Land Records,REAL PROPERTY,RELEASE/LSE,RELEASE/LSE
Land Records,REAL PROPERTY,RELEASE ML,RELEASE ML
Land Records,REAL PROPERTY,RELEASE/MTG,RELEASE/MTG
Land Records,REAL PROPERTY,REDE,RELEASE OF DEED
Land Records,REAL PROPERTY,REW1,RELEASE OF EASEMENT/RIGHT OF WAY
Land Records,REAL PROPERTY,RJ1,RELEASE OF JUDGEMENT
Land Records,REAL PROPERTY,RLS,RELEASE OF LEASE
Land Records,REAL PROPERTY,ROL,RELEASE OF LEVY
Land Records,REAL PROPERTY,RE,RELEASE OF LIEN
Land Records,REAL PROPERTY,RLC,RELEASE OF LIEN CLAIMED
Land Records,REAL PROPERTY,RLP,RELEASE OF LIS PENDENS
Land Records,REAL PROPERTY,RLF1,RELEASE OF NOTICE OF LIEN FOR FINE/RESTITUTION
Land Records,REAL PROPERTY,ROGLS,RELEASE OF OIL AND GAS LEASE
Land Records,REAL PROPERTY,RO,RELEASE OF OPTION
Land Records,REAL PROPERTY,ROGL,RELEASE OIL & GAS LEASE
Land Records,REAL PROPERTY,ROGML,"RELEASE OIL, GAS & MINERAL LEASE"
Land Records,REAL PROPERTY,RELEASE QC,RELEASE QC
Land Records,REAL PROPERTY,R&E/OGL,R&E/OGL
Land Records,REAL PROPERTY,RESALE DEED,RESALE DEED
Land Records,REAL PROPERTY,REV/OGL,REV/OGL
Land Records,REAL PROPERTY,R/INT OG&ML,R/INT OG&ML
Land Records,REAL PROPERTY,RL/AOGMLP,RL/AOGMLP
Land Records,REAL PROPERTY,R/LEASE,R/LEASE
Land Records,REAL PROPERTY,R/LEASES,R/LEASES
Land Records,REAL PROPERTY,RM/OGL,RM/OGL
Land Records,REAL PROPERTY,RM/OPOGL,RM/OPOGL
Land Records,REAL PROPERTY,R/NPOG&ML,R/NPOG&ML
Land Records,REAL PROPERTY,R/OGDT&FS,R/OGDT&FS
Land Records,REAL PROPERTY,R/OGL,R/OGL
Land Records,REAL PROPERTY,R/OGL&DPU,R/OGL&DPU
Land Records,REAL PROPERTY,R/OG/LIEN,R/OG/LIEN
Land Records,REAL PROPERTY,R/OGML,R/OGML
Land Records,REAL PROPERTY,ROW DEED,ROW DEED
Land Records,REAL PROPERTY,ROYALTY AG,ROYALTY AG
Land Records,REAL PROPERTY,ROC,ROYALTY CONVEYANCE
Land Records,REAL PROPERTY,RYD,ROYALTY DEED
Land Records,REAL PROPERTY,ROYALTY DR,ROYALTY DR
Land Records,REAL PROPERTY,ROYALTY QCD,ROYALTY QCD
Land Records,REAL PROPERTY,ROY DEED,ROY DEED
Land Records,REAL PROPERTY,R/PIOG,R/PIOG
Land Records,REAL PROPERTY,SA/OGL,SA/OGL
Land Records,REAL PROPERTY,S&A/OGML,S&A/OGML
Land Records,REAL PROPERTY,SA/TA/OGL,SA/TA/OGL
Land Records,REAL PROPERTY,S&CC/IOGL,S&CC/IOGL
Land Records,REAL PROPERTY,SEC/CAOGL,SEC/CAOGL
Land Records,REAL PROPERTY,SD1,SEVERANCE DEED
Land Records,REAL PROPERTY,SD,SHERIFF'S DEED
Land Records,REAL PROPERTY,STXD,SHERIFF'S TAX DEED
Land Records,REAL PROPERTY,SI&R/OGML,SI&R/OGML
Land Records,REAL PROPERTY,S/OGR,S/OGR
Land Records,REAL PROPERTY,SO/OGL&ORRI,SO/OGL&ORRI
Land Records,REAL PROPERTY,SPEC DEED,SPEC DEED
Land Records,REAL PROPERTY,SMD,SPECIAL MINERAL DEED
Land Records,REAL PROPERTY,SWCA,SPECIAL WARRANTY CONVEYANCE AND ASSIGNMENT
Land Records,REAL PROPERTY,SWD,SPECIAL WARRANTY DEED
Land Records,REAL PROPERTY,SWDVL,SPECIAL WARRANTY DEED WITH VENDORS LIEN
Land Records,REAL PROPERTY,SWGD,SPECIAL WARRANTY GIFT DEED
Land Records,REAL PROPERTY,SWMRDD,SPECIAL WARRANTY MINERAL AND ROYALTY DISTRIBUTION
Land Records,REAL PROPERTY,SWMDD,SPECIAL WARRANTY MINERAL DISTRIBUTION DEED
Land Records,REAL PROPERTY,SRM/EM&DTOGP,SRM/EM&DTOGP
Land Records,REAL PROPERTY,SSLA/OGMP,SSLA/OGMP
Land Records,REAL PROPERTY,ST/GAS/IMB,ST/GAS/IMB
Land Records,REAL PROPERTY,S/TR DEED,S/TR DEED
Land Records,REAL PROPERTY,S/TR'S DEED,S/TR'S DEED
Land Records,REAL PROPERTY,SUBJ/DEED,SUBJ/DEED
Land Records,REAL PROPERTY,STD,SUBSTITUE TRUSTEE'S DEED
Land Records,REAL PROPERTY,STRD,SUBSTITUTE TRUSTEE DEED
Land Records,REAL PROPERTY,SUTD,SUBSTITUTE TRUSTEE'S DEED
Land Records,REAL PROPERTY,SUB TR DEED,SUB TR DEED
Land Records,REAL PROPERTY,SDRA,SURFACE DAMAGE RELEASE AND AGREEMENT
Land Records,REAL PROPERTY,SURL,SURFACE LEASE
Land Records,REAL PROPERTY,SURF/LEASE,SURF/LEASE
Land Records,REAL PROPERTY,SURVIV DEED,SURVIV DEED
Land Records,REAL PROPERTY,SWOG.MD,SWOG.MD
Land Records,REAL PROPERTY,TA/IOGL,TA/IOGL
Land Records,REAL PROPERTY,TAMD/OGL,TAMD/OGL
Land Records,REAL PROPERTY,TA/OGL,TA/OGL
Land Records,REAL PROPERTY,TXD,TAX DEED
Land Records,REAL PROPERTY,TXRD,TAX RESALE DEED
Land Records,REAL PROPERTY,TASSI,TERM ASSIGNMENT
Land Records,REAL PROPERTY,TASSA,TERM ASSIGNMENT AND AGREEMENT
Land Records,REAL PROPERTY,TLS1,TERMINATION OF LEASE
Land Records,REAL PROPERTY,TPAOGL,TPAOGL
Land Records,REAL PROPERTY,TDD,TRANSFER ON DEATH DEED
Land Records,REAL PROPERTY,TR DEED,TR DEED
Land Records,REAL PROPERTY,TR/DEED/ASN,TR/DEED/ASN
Land Records,REAL PROPERTY,TR DEED&B/S,TR DEED&B/S
Land Records,REAL PROPERTY,TR DEED REL,TR DEED REL
Land Records,REAL PROPERTY,TR'S DEED,TR'S DEED
Land Records,REAL PROPERTY,TRD,TRUSTEE'S DEED
Land Records,REAL PROPERTY,TSWD,TRUSTEE'S SPECIAL WARRANTY DEED
Land Records,REAL PROPERTY,TD,TRUSTEE'S/SUBSTITUTE TRUSTEE'S DEED
Land Records,REAL PROPERTY,UAC/OGMI,UAC/OGMI
Land Records,REAL PROPERTY,VSSLMP,VERIFIED STATEMENT IN SUPPORT OF LIEN ON MINERAL P
Land Records,REAL PROPERTY,WD,WARRANTY DEED
Land Records,REAL PROPERTY,WDVL,WARRANTY DEED W/VENDORS LIEN
Land Records,REAL PROPERTY,WELL LEASE,WELL LEASE
Land Records,REAL PROPERTY,ADDT,ADDENDUM TO DEED OF TRUST
Land Records,REAL PROPERTY,ABS,ASSIGNMENT & BILL OF SALE
Land Records,REAL PROPERTY,BO,BOND/RELEASE OF BOND
Land Records,REAL PROPERTY,CAL,CANCELLATION OF LEASE
Land Records,REAL PROPERTY,RLF,CERTIFICATE OF RELEASE OF LIEN IMPOSED UNDER THE A
Land Records,REAL PROPERTY,EO,DECLARATION OF EXERCISE OF OPTION TO EXTEND OG&M L
Land Records,REAL PROPERTY,DIT,DEED IN TRUST
Land Records,REAL PROPERTY,DO,DIVISION ORDER/ROYALTY DIVISION ORDER
Land Records,REAL PROPERTY,TBD,GIFT TIMBER DEED
Land Records,REAL PROPERTY,TLS,LEASE TERMINATION
Land Records,REAL PROPERTY,MAD,MARSHALS DEED
Land Records,REAL PROPERTY,RME,MEDICAID ESTAE RECOVERY PROGRAM NOTICE OF WW OF CL
Land Records,REAL PROPERTY,OGL,"OIL, GAS AND MINERAL LEASE"
Land Records,REAL PROPERTY,PAJ,PARTIAL ASSIGNMENT OF JUDGMENT
Land Records,REAL PROPERTY,PAL,PARTIAL ASSIGNMENT OF LIEN
Land Records,REAL PROPERTY,PLC,PARTIAL RELEASE OF ABSTRACT OF ASSESSMENT
Land Records,REAL PROPERTY,PRR,PARTIAL RELEASE OF RESTRICTIVE COVENANTS
Land Records,REAL PROPERTY,RAD,RELEASE OF ADMINISTRATIVE LIEN
Land Records,REAL PROPERTY,RHL,RELEASE OF HOSPITAL LIEN
Land Records,REAL PROPERTY,RJ,RELEASE OF JUDGMENT
Land Records,REAL PROPERTY,RPP,RELEASE OF PRODUCTION PAYMENT
Land Records,REAL PROPERTY,RR,RELEASE OF RESTRICTIVE COVENANTS
Land Records,REAL PROPERTY,RRR,RELEASE OF RIGHT OF REDEMPTION
Land Records,REAL PROPERTY,RWD,RIGHT OF WAY DEED
Land Records,REAL PROPERTY,RYC,ROYALTY CONTRACT
Land Records,REAL PROPERTY,SAG,SUBROGATION AGREEMENT
Land Records,REAL PROPERTY,TFL,TRANSFER OF LEASE
Land Records,REAL PROPERTY,ASOI,ASSIGNMENT OF INTEREST
Land Records,REAL PROPERTY,DAC,DEED AND CONVEYANCE
Land Records,REAL PROPERTY,DWW,DEED WITHOUT WARRANTY
Land Records,REAL PROPERTY,MDD,MINERAL DISTRIBUTION DEED
Land Records,REAL PROPERTY,NPRD,NON PARTICIPATING ROYALTY DEED
Land Records,REAL PROPERTY,WDWVL,WARRANTY DEED WITH VENDORS LIEN
Land Records,FINANCING STATEMENTS,FSA,FINANCING STATEMENT ASSIGNMENT
Land Records,FINANCING STATEMENTS,FSP,FINANCING STATEMENT PARTIAL RELEASE
Land Records,FINANCING STATEMENTS,FSR,FINANCING STATEMENT RELEASE/TERMINATION
Land Records,FINANCING STATEMENTS,OGL/ST.FS,OGL/ST.FS
Land Records,FEDERAL TAX LIENS,PFT,PARTIAL RELEASE OF FEDERAL TAX LIEN
Land Records,FEDERAL TAX LIENS,RFTL,RELEASE FEDERAL TAX LIEN
Land Records,FEDERAL TAX LIENS,RFT1,RELEASE OF FEDERAL TAX LIEN
Land Records,FEDERAL TAX LIENS,PTX,PARTIAL RELEASE OF TAX LIEN
Land Records,FEDERAL TAX LIENS,RTX,RELEASE OF TAX LIEN
Land Records,FEDERAL TAX LIENS,RRF,REVOCATION OF RELEASE OF FEDERAL TAX LIEN
Land Records,CHILD SUPPORT LIENS,PCS,PARTIAL RELEASE OF CHILD SUPPORT LIEN
Land Records,CHILD SUPPORT LIENS,RCSL,RELEASE CHILD SUPPORT LIEN
Land Records,CHILD SUPPORT LIENS,RCS,RELEASE OF CHILD SUPPORT LIEN
Land Records,CHILD SUPPORT LIENS,REA,CERTIFICATE OF TERMINATION OF ASSIGNMENT OF CHILD
